warranty_id,customer_id,appliance_id,purchase_date,expiry_date,status,serial_number,purchase_amount
WRN001,CUST018,APPL009,2025-01-27,2026-01-27,Expired,SN100599,35000
WRN002,CUST020,APPL006,2025-09-04,2026-09-04,Active,SN120422,18000
WRN003,CUST004,APPL006,2025-02-17,2026-02-17,Expired,SN972064,18000
WRN004,CUST010,APPL004,2026-04-13,2028-04-12,Active,SN352572,31000
WRN005,CUST019,APPL002,2026-03-30,2027-03-30,Active,SN867460,42000
WRN006,CUST016,APPL002,2025-04-18,2026-04-18,Expired,SN658582,42000
WRN007,CUST005,APPL003,2025-06-09,2026-06-09,Active,SN598369,22000
WRN008,CUST018,APPL003,2025-12-28,2026-12-28,Active,SN653306,22000
WRN009,CUST020,APPL007,2026-01-24,2027-01-24,Active,SN665492,6000
WRN010,CUST007,APPL005,2025-10-20,2026-10-20,Active,SN804314,28000
WRN011,CUST012,APPL008,2025-02-06,2026-02-06,Expired,SN642717,11000
WRN012,CUST015,APPL002,2026-01-06,2027-01-06,Active,SN335612,42000
WRN013,CUST003,APPL006,2026-05-02,2027-05-02,Active,SN716886,18000
WRN014,CUST018,APPL004,2025-07-15,2027-07-15,Active,SN330914,31000
WRN015,CUST001,APPL002,2025-05-15,2026-05-15,Expired,SN761759,42000
WRN016,CUST002,APPL004,2026-04-08,2028-04-07,Active,SN132938,31000
WRN017,CUST011,APPL002,2025-08-22,2026-08-22,Active,SN349565,42000
WRN018,CUST009,APPL008,2026-01-23,2027-01-23,Active,SN665427,11000
WRN019,CUST005,APPL010,2025-07-21,2027-07-21,Active,SN595631,55000
WRN020,CUST008,APPL008,2025-03-25,2026-03-25,Expired,SN526833,11000
WRN021,CUST007,APPL002,2026-03-24,2027-03-24,Active,SN790993,42000
WRN022,CUST014,APPL006,2025-10-08,2026-10-08,Active,SN531071,18000
WRN023,CUST015,APPL001,2025-06-02,2027-06-02,Active,SN785197,32000
WRN024,CUST004,APPL001,2025-10-18,2027-10-18,Active,SN863587,32000
WRN025,CUST011,APPL002,2026-01-05,2027-01-05,Active,SN300896,42000
WRN026,CUST007,APPL009,2025-09-25,2026-09-25,Active,SN246991,35000
WRN027,CUST014,APPL003,2025-12-21,2026-12-21,Active,SN585100,22000
WRN028,CUST008,APPL002,2025-09-28,2026-09-28,Active,SN947272,42000
WRN029,CUST018,APPL002,2026-04-17,2027-04-17,Active,SN783823,42000
WRN030,CUST018,APPL001,2026-03-26,2028-03-25,Active,SN890170,32000
